凭证号,主体代码,会计主体,记账日期,摘要,科目编码,科目名称,借方金额,贷方金额,客户,供应商,关联方,产品,渠道,地区,税种,资产类别,账龄,使用部门,单据日期,补助类型,现金流项目,内部往来标记
PZ00083,S2,黔岭酒类包装有限公司,2025-12-31,管理费用,1002,银行存款,,18000000,,,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00084,S2,黔岭酒类包装有限公司,2025-12-31,税金及附加,6403,税金及附加,6000000,,,,,,,,消费税及附加,,,,,,,
PZ00084,S2,黔岭酒类包装有限公司,2025-12-31,税金及附加,2221,应交税费,,6000000,,,,,,,消费税及附加,,,,,,,
PZ00085,S2,黔岭酒类包装有限公司,2025-12-31,实际支付职工薪酬,2211,应付职工薪酬,44000000,,,,,,,,,,,,,,支付给职工以及为职工支付的现金,
PZ00085,S2,黔岭酒类包装有限公司,2025-12-31,实际支付职工薪酬,1002,银行存款,,44000000,,,,,,,,,,,,,支付给职工以及为职工支付的现金,
PZ00086,S2,黔岭酒类包装有限公司,2025-12-31,缴纳消费税及附加,2221,应交税费,6000000,,,,,,,,消费税及附加,,,,,,支付的各项税费,
PZ00086,S2,黔岭酒类包装有限公司,2025-12-31,缴纳消费税及附加,1002,银行存款,,6000000,,,,,,,消费税及附加,,,,,,支付的各项税费,
PZ00087,S2,黔岭酒类包装有限公司,2025-12-31,缴纳企业所得税,2221,应交税费,6000000,,,,,,,,企业所得税,,,,,,支付的各项税费,
PZ00087,S2,黔岭酒类包装有限公司,2025-12-31,缴纳企业所得税,1002,银行存款,,6000000,,,,,,,企业所得税,,,,,,支付的各项税费,
PZ00088,S2,黔岭酒类包装有限公司,2025-12-31,确认所得税费用,6801,所得税费用,8000000,,,,,,,,企业所得税,,,,,,,
PZ00088,S2,黔岭酒类包装有限公司,2025-12-31,确认所得税费用,2221,应交税费,,8000000,,,,,,,企业所得税,,,,,,,
PZ00089,S2,黔岭酒类包装有限公司,2025-12-31,计提法定盈余公积,4104,未分配利润,2300000,,,,,,,,,,,,,,,
PZ00089,S2,黔岭酒类包装有限公司,2025-12-31,计提法定盈余公积,4101,盈余公积,,2300000,,,,,,,,,,,,,,
PZ00090,P,黔岭酒业股份有限公司,2025-12-28,确认收入（某关联商贸，无出库单）,1122,应收账款,80000000,,黔岭商贸有限公司,,,黔岭·天酿,批发代理,国内,,,1年以内（含1年）,,,,,
PZ00090,P,黔岭酒业股份有限公司,2025-12-28,确认收入（某关联商贸，无出库单）,6001,主营业务收入,,80000000,黔岭商贸有限公司,,,黔岭·天酿,批发代理,国内,,,1年以内（含1年）,,,,,
PZ00091,P,黔岭酒业股份有限公司,2025-11-30,收到供应商年度返还款（暂挂其他应付款）,1002,银行存款,36000000,,,红缨子高粱种植合作社,,,,,,,,,,,收到其他与经营活动有关的现金,
PZ00091,P,黔岭酒业股份有限公司,2025-11-30,收到供应商年度返还款（暂挂其他应付款）,2241,其他应付款,,36000000,,红缨子高粱种植合作社,,,,,,,,,,,收到其他与经营活动有关的现金,
PZ00092,P,黔岭酒业股份有限公司,2025-12-31,冲销多结转的主营业务成本,1405,库存商品,62000000,,,,,,,,,,,,,,,
PZ00092,P,黔岭酒业股份有限公司,2025-12-31,冲销多结转的主营业务成本,6401,主营业务成本,,62000000,,,,,,,,,,,,,,
PZ00093,P,黔岭酒业股份有限公司,2025-05-31,借予控股股东款项（无协议、不计息）,1221,其他应收款,45000000,,中国贵州黔岭控股集团有限公司,,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00093,P,黔岭酒业股份有限公司,2025-05-31,借予控股股东款项（无协议、不计息）,1002,银行存款,,45000000,中国贵州黔岭控股集团有限公司,,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00094,P,黔岭酒业股份有限公司,2025-09-30,支付管理咨询协调费（无发票）,6602,管理费用,8600000,,,其他（无票据）,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00094,P,黔岭酒业股份有限公司,2025-09-30,支付管理咨询协调费（无发票）,1002,银行存款,,8600000,,其他（无票据）,,,,,,,,,,,支付其他与经营活动有关的现金,
PZ00095,P,黔岭酒业股份有限公司,2025-12-31,存货盘亏转其他流动资产（未查明原因）,1901,其他流动资产,14000000,,,,,,,,,,,,,,,
PZ00095,P,黔岭酒业股份有限公司,2025-12-31,存货盘亏转其他流动资产（未查明原因）,1405,库存商品,,14000000,,,,,,,,,,,,,,
PZ00096,S1,黔岭销售有限公司,2025-12-31,以商业承兑汇票置换逾期应收账款,1121,应收票据,120000000,,其他经销商（汇总）,,,,,,,,,,,,,
PZ00096,S1,黔岭销售有限公司,2025-12-31,以商业承兑汇票置换逾期应收账款,1122,应收账款,,120000000,其他经销商（汇总）,,,,,,,,,,,,,
PZ00097,P,黔岭酒业股份有限公司,2025-11-30,收到设备购置专项补助,1002,银行存款,20000000,,,,,,,,,,,,,设备购置专项（与资产相关）,收到其他与投资活动有关的现金,
PZ00097,P,黔岭酒业股份有限公司,2025-11-30,收到设备购置专项补助,6117,其他收益,,20000000,,,,,,,,,,,,设备购置专项（与资产相关）,收到其他与投资活动有关的现金,
PZ00098,P,黔岭酒业股份有限公司,2025-08-15,包装生产线技改工程支出,1604,在建工程,186000000,,,,,,,,,在建工程,,,,,购建固定资产、无形资产和其他长期资产支付的现金,
PZ00098,P,黔岭酒业股份有限公司,2025-08-15,包装生产线技改工程支出,1002,银行存款,,186000000,,,,,,,,在建工程,,,,,购建固定资产、无形资产和其他长期资产支付的现金,
PZ00099,P,黔岭酒业股份有限公司,2025-12-30,支付 2026 年 1 月管理咨询服务费（提前列支）,6602,管理费用,7200000,,,某咨询服务商,,,,,,,,,2026-01-05,,支付其他与经营活动有关的现金,
PZ00099,P,黔岭酒业股份有限公司,2025-12-30,支付 2026 年 1 月管理咨询服务费（提前列支）,1002,银行存款,,7200000,,某咨询服务商,,,,,,,,,2026-01-05,,支付其他与经营活动有关的现金,
PZ00100,S1,黔岭销售有限公司,2025-12-29,支付母公司货款（母公司未作收款记录）,2202,应付账款,18000000,,,,黔岭酒业股份有限公司,,,,,,,,,,购买商品、接受劳务支付的现金,母公司对黔岭销售应收账款
PZ00100,S1,黔岭销售有限公司,2025-12-29,支付母公司货款（母公司未作收款记录）,1002,银行存款,,18000000,,,黔岭酒业股份有限公司,,,,,,,,,,购买商品、接受劳务支付的现金,母公司对黔岭销售应收账款
